               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.052153,            0.030373,            0.019853,             0.77076,             0.77043,             0.80902,             0.59315,            0.040121,           0.0085719,            0.013286,            0.002872,            0.002872,            0.002872
                  38,            0.050425,            0.032149,            0.016516,             0.85968,             0.79248,             0.82914,             0.55006,            0.042032,           0.0083618,            0.013617,            0.002674,            0.002674,            0.002674
                  39,            0.049403,            0.028177,            0.018144,             0.77833,             0.77689,             0.82591,             0.60584,            0.039412,           0.0084767,            0.013701,            0.002476,            0.002476,            0.002476
                  40,            0.048275,            0.025069,            0.016954,              0.8275,             0.72822,             0.82335,             0.58426,            0.038159,           0.0084614,            0.013548,            0.002278,            0.002278,            0.002278
                  41,            0.042301,            0.029089,            0.018789,             0.88841,             0.74461,             0.83379,             0.59566,            0.037212,            0.008772,            0.012257,             0.00208,             0.00208,             0.00208
                  42,            0.047703,            0.034418,            0.016852,             0.88169,             0.73965,             0.82853,             0.53657,            0.039099,           0.0088662,            0.012201,            0.001882,            0.001882,            0.001882
                  43,            0.048271,              0.0272,            0.021312,             0.85854,             0.79403,             0.81447,             0.57928,            0.039181,           0.0089564,            0.012383,            0.001684,            0.001684,            0.001684
                  44,            0.048395,            0.033628,            0.015707,             0.84741,             0.80084,             0.81052,             0.58277,            0.037602,            0.008919,            0.012529,            0.001486,            0.001486,            0.001486
                  45,            0.048425,            0.034473,            0.017207,             0.85614,             0.80523,             0.83337,              0.5873,            0.037081,           0.0089749,            0.012707,            0.001288,            0.001288,            0.001288
                  46,            0.044646,            0.029311,            0.015166,             0.85401,             0.81828,             0.82819,              0.6066,            0.036813,           0.0090628,            0.012575,             0.00109,             0.00109,             0.00109
                  47,            0.046613,            0.034308,            0.014494,             0.87549,             0.83597,             0.83353,             0.62675,            0.036732,           0.0090795,            0.012529,            0.000892,            0.000892,            0.000892
                  48,             0.04559,            0.029951,            0.017069,             0.87674,             0.84013,             0.83841,             0.63348,            0.036753,            0.009092,            0.012369,            0.000694,            0.000694,            0.000694
                  49,            0.049041,            0.027994,             0.01417,             0.86552,              0.8265,             0.84054,             0.63343,            0.037031,            0.009175,            0.012339,            0.000496,            0.000496,            0.000496
